Date,Open,High,Low,Close,Adj Close,Volume
2012-11-06,58220000000,59561000000,58174000000,59459000000,59459000000,3470000
2012-11-07,59460000000,59460000000,58274000000,58517000000,58517000000,3084000
2012-11-08,58523000000,59008000000,57420000000,57524000000,57524000000,3201000
2012-11-09,57517000000,58109000000,56862000000,57358000000,57358000000,4250400
2012-11-12,57358000000,57712000000,56988000000,57064000000,57064000000,2071200
2012-11-13,57049000000,57529000000,56593000000,57486000000,57486000000,3363400
2012-11-14,57472000000,57472000000,56038000000,56279000000,56279000000,3606400
2012-11-16,56277000000,56277000000,55126000000,55402000000,55402000000,3471800
2012-11-19,55387000000,56666000000,55387000000,56451000000,56451000000,2782800
2012-11-21,56453000000,56789000000,55946000000,56242000000,56242000000,3592200
2012-11-22,56245000000,56643000000,56242000000,56437000000,56437000000,2146200
2012-11-23,56439000000,57574000000,56248000000,57574000000,57574000000,3182000
2012-11-26,57571000000,57572000000,56502000000,56737000000,56737000000,2752800
2012-11-27,56737000000,57420000000,56248000000,56248000000,56248000000,3554200
2012-11-28,56206000000,56591000000,55686000000,56539000000,56539000000,3465400
2012-11-29,56562000000,57853000000,56562000000,57853000000,57853000000,3401400
2012-11-30,57845000000,58031000000,56704000000,57475000000,57475000000,5047000
2012-12-03,57479000000,58332000000,57479000000,58202000000,58202000000,3485800
2012-12-04,58212000000,58520000000,57547000000,57563000000,57563000000,3937200
2012-12-05,57597000000,58127000000,57231000000,57679000000,57679000000,3582400
2012-12-06,57685000000,57860000000,57129000000,57656000000,57656000000,3203200
2012-12-07,57656000000,58594000000,57636000000,58487000000,58487000000,3042400
2012-12-10,58468000000,59248000000,58091000000,59248000000,59248000000,3061800
2012-12-11,59257000000,59747000000,58951000000,59623000000,59623000000,3988600
2012-12-12,59626000000,59859000000,59291000000,59474000000,59474000000,4749600
2012-12-13,59459000000,59969000000,59154000000,59317000000,59317000000,3569400
2012-12-14,59320000000,59824000000,59273000000,59605000000,59605000000,3405800
2012-12-17,59604000000,59914000000,59323000000,59567000000,59567000000,3114400
2012-12-18,59568000000,60539000000,59565000000,60461000000,60461000000,4364800
2012-12-19,60461000000,61212000000,60396000000,60998000000,60998000000,4427600
2012-12-20,60992000000,61276000000,60622000000,61276000000,61276000000,3083400
2012-12-21,61271000000,61271000000,60221000000,61007000000,61007000000,3157400
2012-12-26,61003000000,61322000000,60861000000,60960000000,60960000000,2598000
2012-12-27,60964000000,61191000000,60233000000,60416000000,60416000000,2852600
2012-12-28,60416000000,61066000000,60416000000,60952000000,60952000000,2626000
2013-01-02,60990000000,62887000000,60990000000,62550000000,62550000000,3739800
2013-01-03,62555000000,63473000000,62341000000,63312000000,63312000000,3355800
2013-01-04,63314000000,63314000000,62415000000,62523000000,62523000000,6233800
2013-01-07,62523000000,62699000000,61639000000,61933000000,61933000000,3985800
