Date,Open,Close,High,Low
18/04/2019 15:36:00;30,73.3,73.3,74.3,73
18/04/2019 15:37:00;30,73.3,74.3,74.3,72
18/04/2019 15:38:00;30,72.3,74.3,74.3,71
18/04/2019 15:39:00;30,73.3,76.3,76.3,73
18/04/2019 15:40:00;30,76.3,78.3,8.3,75
18/04/2019 15:41:00;30,79.3,82.3,85.3,78
18/04/2019 15:42:00;30,82.3,78.3,83.3,77
18/04/2019 15:43:00;30,78.3,81.3,83.3,74
18/04/2019 15:44:00;30,8.3,8.3,81.3,78
18/04/2019 15:45:00;30,8.3,83.3,83.3,79
18/04/2019 15:46:00;30,82.3,82.3,87.3,8
18/04/2019 15:47:00;30,8.3,78.3,82.3,78
18/04/2019 15:48:00;30,78.3,78.3,78.3,76
18/04/2019 15:49:00;30,76.3,73.3,79.3,72
18/04/2019 15:50:00;30,73.3,76.3,76.3,71
18/04/2019 15:51:00;30,75.3,78.3,78.3,74
18/04/2019 15:52:00;30,76.3,74.3,79.3,74
18/04/2019 15:53:00;30,74.3,72.3,74.3,71
18/04/2019 15:54:00;30,74.3,75.3,75.3,7
18/04/2019 15:55:00;30,75.3,74.3,76.3,73
18/04/2019 15:56:00;30,74.3,77.3,8.3,74
18/04/2019 15:57:00;30,78.3,8.3,8.3,77
18/04/2019 15:58:00;30,79.3,79.3,82.3,79
18/04/2019 15:59:00;30,8.3,76.3,8.3,76
18/04/2019 16:00:00;30,78.3,72.3,78.3,72
18/04/2019 16:01:00;30,71.3,71.3,73.3,7
18/04/2019 16:02:00;30,7.3,66.3,73.3,66
18/04/2019 16:03:00;30,68.3,64.3,68.3,63
18/04/2019 16:04:00;30,65.3,67.3,67.3,64
18/04/2019 16:05:00;30,68.3,68.3,7.3,67
18/04/2019 16:06:00;30,68.3,66.3,68.3,62
18/04/2019 16:07:00;30,65.3,72.3,74.3,65
18/04/2019 16:08:00;30,71.3,71.3,73.3,7
18/04/2019 16:09:00;30,72.3,7.3,74.3,7
18/04/2019 16:10:00;30,7.3,71.3,72.3,68
18/04/2019 16:11:00;30,69.3,72.3,72.3,68
18/04/2019 16:12:00;30,72.3,73.3,75.3,72
18/04/2019 16:13:00;30,74.3,74.3,75.3,71
18/04/2019 16:14:00;30,73.3,71.3,76.3,7
18/04/2019 16:15:00;30,71.3,7.3,72.3,7
18/04/2019 16:16:00;30,71.3,71.3,72.3,7
18/04/2019 16:17:00;30,71.3,76.3,76.3,71
18/04/2019 16:18:00;30,76.3,77.3,77.3,74
18/04/2019 16:19:00;30,77.3,74.3,77.3,72
18/04/2019 16:20:00;30,73.3,75.3,75.3,72
18/04/2019 16:21:00;30,74.3,74.3,76.3,73
18/04/2019 16:22:00;30,75.3,77.3,77.3,74
18/04/2019 16:23:00;30,76.3,73.3,76.3,72
18/04/2019 16:24:00;30,74.3,72.3,74.3,72
18/04/2019 16:25:00;30,73.3,73.3,74.3,72
18/04/2019 16:26:00;30,73.3,77.3,77.3,73
18/04/2019 16:27:00;30,77.3,78.3,79.3,76
18/04/2019 16:28:00;30,77.3,78.3,79.3,77
18/04/2019 16:29:00;30,78.3,76.3,78.3,76
18/04/2019 16:30:00;30,76.3,76.3,76.3,71
18/04/2019 16:31:00;30,74.3,72.3,74.3,71
18/04/2019 16:32:00;30,72.3,73.3,73.3,71
18/04/2019 16:33:00;30,72.3,7.3,73.3,7
18/04/2019 16:34:00;30,7.3,68.3,7.3,66
18/04/2019 16:35:00;30,68.3,66.3,69.3,65
18/04/2019 16:36:00;30,66.3,66.3,67.3,64
18/04/2019 16:37:00;30,64.3,67.3,67.3,64
18/04/2019 16:38:00;30,66.3,67.3,68.3,65
18/04/2019 16:39:00;30,65.3,69.3,69.3,65
18/04/2019 16:40:00;30,68.3,71.3,71.3,66
18/04/2019 16:41:00;30,71.3,72.3,74.3,71
18/04/2019 16:42:00;30,71.3,73.3,74.3,69
18/04/2019 16:43:00;30,73.3,71.3,75.3,69
18/04/2019 16:44:00;30,71.3,71.3,73.3,71
